CodDependencia,Dependencia,Tipo de Inversión,CodBPIN,Nombre_proy_Ajustado,Comuna,NomComuna,Inversion,Año,Corte,Codigo Dependencia,Nombre Proyecto,Nombre Comuna
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50084.0,"PP Apoyo a la modernizacion, fortalecimiento y transformacion de los organimos de",9.0,Buenos Aires,"125,003,796",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40049.0,Ciudadanía De La Noche,4.0,Aranjuez,"21,500,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40200.0,Trabajo Con Población Reincidente,13.0,San Javier,"1,265,800",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50080.0,PP MANUAL DE CONVIVENCIA,10.0,La Candelaria,"89,555,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50044.0,PP PLAN DESARME,7.0,Robledo,"54,640,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40049.0,Ciudadanía De La Noche,13.0,San Javier,"21,500,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,60031.0,PP CIUDADANIA DE LA NOCHE,9.0,Buenos Aires,"62,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,60033.0,PP- ACOMPAÑAMIENTO A POBLACIÓN REINCIDENTE,9.0,Buenos Aires,"3,380,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40053.0,Plan Desarme,13.0,San Javier,"2,555,051",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40053.0,Plan Desarme,70.0,Altavista,"20,818,002",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40049.0,Ciudadanía De La Noche,70.0,Altavista,"21,500,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,70039.0,PP INTERVENCIÓN EN CÁRCELES,12.0,La América,"54,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,60033.0,PP- ACOMPAÑAMIENTO A POBLACIÓN REINCIDENTE,12.0,La América,"3,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40048.0,Guias Ciduadanos,4.0,Aranjuez,"108,479,400",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40344.0,PP DESACTIVACION DE LA AGRESION INTRAFAMILIAR,5.0,Castilla,"20,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40344.0,PP DESACTIVACION DE LA AGRESION INTRAFAMILIAR,4.0,Aranjuez,"80,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40200.0,Trabajo Con Población Reincidente,16.0,Belén,"4,750,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40198.0,Intervención Social En Las Cárceles,16.0,Belén,"41,928,684",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40200.0,Trabajo Con Población Reincidente,9.0,Buenos Aires,"2,848,095",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40198.0,Intervención Social En Las Cárceles,9.0,Buenos Aires,"7,825,400",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,70039.0,PP INTERVENCIÓN EN CÁRCELES,70.0,Altavista,"10,002,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40049.0,Ciudadanía De La Noche,16.0,Belén,"12,490,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40311.0,PP ORGANIZACIÓN CONTROL AUTOCONTROL DE VENTEROS EN EL ESPACIO PUBLICO,9.0,Buenos Aires,"30,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40352.0,Diseño E Implementación De Una Estrategia De Desmovilizaión,5.0,Castilla,"341,976,365",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40312.0,Manual De Convivencia,9.0,Buenos Aires,"27,818,700",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40342.0,Organizacion Y Capacitación De Vigilantes Informales,5.0,Castilla,"6,777,990",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50043.0,PP - APOYO AL FUNCIONAMIENTO CENTROS DE CONCILIACIÓN,2.0,Santa Cruz,"20,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40316.0,PP FORTALECIMIENTO DE LAS RELACIONES FAMILIARES,5.0,Castilla,"20,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40352.0,Diseño E Implementación De Una Estrategia De Desmovilizaión,10.0,La Candelaria,"155,416,529",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40344.0,PP DESACTIVACION DE LA AGRESION INTRAFAMILIAR,10.0,La Candelaria,"63,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40342.0,Organizacion Y Capacitación De Vigilantes Informales,10.0,La Candelaria,"37,480,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40316.0,PP FORTALECIMIENTO DE LAS RELACIONES FAMILIARES,10.0,La Candelaria,"92,900,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40035.0,Suministro De Apoyo Logistico A Los Organismos De Seguridad Y Justicia,99.0,Toda la Ciudad,"2,300,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,60033.0,PP- ACOMPAÑAMIENTO A POBLACIÓN REINCIDENTE,3.0,Manrique,"2,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,60031.0,PP CIUDADANIA DE LA NOCHE,5.0,Castilla,"170,340,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,80099.0,Contrucción Y Adecuación De Casas De Justicia Y De Gobierno,3.0,Manrique,"310,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50080.0,PP MANUAL DE CONVIVENCIA,12.0,La América,"15,450,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,60031.0,PP CIUDADANIA DE LA NOCHE,70.0,Altavista,"35,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,60033.0,PP- ACOMPAÑAMIENTO A POBLACIÓN REINCIDENTE,70.0,Altavista,"2,000,000",2008.0,31-Dic-2008,,,
